32 899.053 816.116
48 1255.97 1088.23
64 1829.54 1607.72
96 2939.2 2494.2
128 3544.82 3249.71
192 6021.55 4895.1
256 7958.59 6337.88
384 10967.8 10008.8
512 14596.3 13676.3
768 21860.4 19206.1
1024 29963.4 24854.9
1536 46555.3 37789.3
2048 60529 50178.4
3072 76710.8 69052.6
4096 107021 89522.3
6144 131201 115064
8192 167173 146726
12288 228561 194476
16384 272340 234283
24576 335554 294957
32768 348562 313654
49152 393395 348079
65536 418564 392371
98304 436859 397875
131072 449808 407146
196608 475861 443190
262144 495750 470461
393216 509468 484664
524288 485699 446608
