32 0.910137 0.346887
48 1.33028 1.03271
64 1.78558 1.65925
96 1.91725 1.53117
128 3.19468 2.47808
192 5.0083 4.377
256 6.66965 5.33456
384 10.383 7.36121
512 13.1123 11.092
768 20.62 17.2016
1024 28.0579 27.183
1536 39.96 39.4942
2048 46.2472 33.9722
3072 64.4006 49.1931
4096 51.9892 29.928
6144 45.7721 32.1368
8192 123.108 90.3145
12288 80.2897 43.61
16384 326.196 244.573
24576 371.401 291.501
32768 497.203 427.752
49152 646.427 569.654
65536 688.839 619.509
98304 834.428 721.069
131072 890.346 798.907
196608 858.982 810.406
262144 232.304 190.248
393216 667.918 558.97
524288 1007.37 742.101
