32 2.9695 2.77114
48 3.81631 3.63654
64 9.25976 8.75151
96 7.55722 7.15025
128 9.94181 9.26654
192 19.1105 18.2013
256 23.5034 22.5261
384 40.3832 39.0335
512 70.8842 67.4499
768 83.9577 81.0088
1024 100.076 96.4668
1536 116.208 112.821
2048 251.664 240.183
3072 244.981 237.17
4096 306.5 294.458
6144 446.138 435.158
8192 555.974 536.736
12288 823.551 796.037
16384 1083.67 985.151
24576 1700.58 1581.48
32768 1947.57 1795.37
49152 3719.49 3459.94
65536 3484.82 3193.63
98304 5015.93 4515.89
131072 6686.04 6399.66
196608 6515.41 5986.58
262144 6814.26 6522.6
393216 9045.11 8476.44
524288 11299 9763.17
